RUN	smartsale.Scenario5Items10Users	scenario5items10users	1605219482115	 	3.4.1
USER	Warm up	START	1605219483378
REQUEST		warm_up	1605219483401	1605219484160	OK	 
USER	Warm up	START	1605219484382
REQUEST		warm_up	1605219484174	1605219484392	OK	 
REQUEST		warm_up	1605219484445	1605219484683	OK	 
REQUEST		warm_up	1605219484684	1605219484908	OK	 
REQUEST		warm_up	1605219484383	1605219485106	OK	 
REQUEST		warm_up	1605219485106	1605219485345	OK	 
USER	Warm up	START	1605219485377
REQUEST		warm_up	1605219484909	1605219485407	OK	 
REQUEST		warm_up	1605219485346	1605219485572	OK	 
REQUEST		warm_up	1605219485408	1605219485655	OK	 
REQUEST		warm_up	1605219485573	1605219485805	OK	 
REQUEST		warm_up	1605219485656	1605219485869	OK	 
REQUEST		warm_up	1605219485806	1605219486017	OK	 
REQUEST		warm_up	1605219485870	1605219486098	OK	 
REQUEST		warm_up	1605219485377	1605219486118	OK	 
REQUEST		warm_up	1605219486018	1605219486265	OK	 
REQUEST		warm_up	1605219486099	1605219486326	OK	 
USER	Warm up	START	1605219486366
REQUEST		warm_up	1605219486119	1605219486371	OK	 
REQUEST		warm_up	1605219486266	1605219486479	OK	 
REQUEST		warm_up	1605219486327	1605219486557	OK	 
REQUEST		warm_up	1605219486372	1605219486640	OK	 
REQUEST		warm_up	1605219486479	1605219486721	OK	 
REQUEST		warm_up	1605219486558	1605219486832	OK	 
REQUEST		warm_up	1605219486641	1605219486843	OK	 
REQUEST		warm_up	1605219486722	1605219486956	OK	 
REQUEST		warm_up	1605219486833	1605219487054	OK	 
REQUEST		warm_up	1605219486367	1605219487076	OK	 
REQUEST		warm_up	1605219486844	1605219487079	OK	 
REQUEST		warm_up	1605219486957	1605219487212	OK	 
REQUEST		warm_up	1605219487080	1605219487266	OK	 
REQUEST		warm_up	1605219487077	1605219487283	OK	 
REQUEST		warm_up	1605219487055	1605219487286	OK	 
USER	Warm up	START	1605219487376
REQUEST		warm_up	1605219487213	1605219487449	OK	 
REQUEST		warm_up	1605219487287	1605219487476	OK	 
REQUEST		warm_up	1605219487267	1605219487482	OK	 
REQUEST		warm_up	1605219487284	1605219487485	OK	 
REQUEST		warm_up	1605219487449	1605219487693	OK	 
REQUEST		warm_up	1605219487477	1605219487707	OK	 
REQUEST		warm_up	1605219487498	1605219487721	OK	 
REQUEST		warm_up	1605219487518	1605219487736	OK	 
REQUEST		warm_up	1605219487694	1605219487908	OK	 
REQUEST		warm_up	1605219487708	1605219487927	OK	 
REQUEST		warm_up	1605219487722	1605219487940	OK	 
REQUEST		warm_up	1605219487737	1605219487976	OK	 
REQUEST		warm_up	1605219487909	1605219488121	OK	 
REQUEST		warm_up	1605219487377	1605219488136	OK	 
REQUEST		warm_up	1605219487977	1605219488194	OK	 
REQUEST		warm_up	1605219487928	1605219488205	OK	 
REQUEST		warm_up	1605219487941	1605219488274	OK	 
USER	Warm up	START	1605219488377
REQUEST		warm_up	1605219488136	1605219488384	OK	 
REQUEST		warm_up	1605219488122	1605219488419	OK	 
REQUEST		warm_up	1605219488195	1605219488431	OK	 
REQUEST		warm_up	1605219488206	1605219488442	OK	 
REQUEST		warm_up	1605219488275	1605219488507	OK	 
REQUEST		warm_up	1605219488385	1605219488620	OK	 
REQUEST		warm_up	1605219488443	1605219488677	OK	 
REQUEST		warm_up	1605219488420	1605219488678	OK	 
