RUN	smartsale.Scenario5Items10Users	scenario5items10users	1605218976518	 	3.4.1
USER	Warm up	START	1605218977800
REQUEST		warm_up	1605218977826	1605218978596	OK	 
USER	Warm up	START	1605218978804
REQUEST		warm_up	1605218978610	1605218978827	OK	 
REQUEST		warm_up	1605218978828	1605218979081	OK	 
REQUEST		warm_up	1605218979081	1605218979309	OK	 
REQUEST		warm_up	1605218979310	1605218979568	OK	 
REQUEST		warm_up	1605218978804	1605218979581	OK	 
REQUEST		warm_up	1605218979569	1605218979788	OK	 
USER	Warm up	START	1605218979795
REQUEST		warm_up	1605218979582	1605218979801	OK	 
REQUEST		warm_up	1605218979802	1605218980006	OK	 
REQUEST		warm_up	1605218979789	1605218980020	OK	 
REQUEST		warm_up	1605218980007	1605218980250	OK	 
REQUEST		warm_up	1605218980021	1605218980256	OK	 
REQUEST		warm_up	1605218980256	1605218980473	OK	 
REQUEST		warm_up	1605218980251	1605218980476	OK	 
REQUEST		warm_up	1605218979795	1605218980556	OK	 
REQUEST		warm_up	1605218980474	1605218980688	OK	 
REQUEST		warm_up	1605218980477	1605218980745	OK	 
REQUEST		warm_up	1605218980557	1605218980781	OK	 
USER	Warm up	START	1605218980798
REQUEST		warm_up	1605218980689	1605218980940	OK	 
REQUEST		warm_up	1605218980746	1605218980945	OK	 
REQUEST		warm_up	1605218980782	1605218981049	OK	 
REQUEST		warm_up	1605218980945	1605218981154	OK	 
REQUEST		warm_up	1605218980941	1605218981158	OK	 
REQUEST		warm_up	1605218981050	1605218981260	OK	 
REQUEST		warm_up	1605218981158	1605218981374	OK	 
REQUEST		warm_up	1605218981155	1605218981375	OK	 
REQUEST		warm_up	1605218981260	1605218981482	OK	 
REQUEST		warm_up	1605218980798	1605218981515	OK	 
REQUEST		warm_up	1605218981375	1605218981623	OK	 
REQUEST		warm_up	1605218981375	1605218981664	OK	 
REQUEST		warm_up	1605218981483	1605218981694	OK	 
REQUEST		warm_up	1605218981516	1605218981757	OK	 
USER	Warm up	START	1605218981800
REQUEST		warm_up	1605218981624	1605218981840	OK	 
REQUEST		warm_up	1605218981665	1605218981889	OK	 
REQUEST		warm_up	1605218981695	1605218981945	OK	 
REQUEST		warm_up	1605218981757	1605218981966	OK	 
REQUEST		warm_up	1605218981840	1605218982050	OK	 
REQUEST		warm_up	1605218981890	1605218982087	OK	 
REQUEST		warm_up	1605218981946	1605218982171	OK	 
REQUEST		warm_up	1605218981966	1605218982244	OK	 
REQUEST		warm_up	1605218982088	1605218982315	OK	 
REQUEST		warm_up	1605218982050	1605218982321	OK	 
REQUEST		warm_up	1605218982172	1605218982386	OK	 
REQUEST		warm_up	1605218982245	1605218982474	OK	 
REQUEST		warm_up	1605218981800	1605218982516	OK	 
REQUEST		warm_up	1605218982316	1605218982534	OK	 
REQUEST		warm_up	1605218982322	1605218982556	OK	 
REQUEST		warm_up	1605218982387	1605218982623	OK	 
REQUEST		warm_up	1605218982475	1605218982699	OK	 
REQUEST		warm_up	1605218982517	1605218982728	OK	 
REQUEST		warm_up	1605218982534	1605218982755	OK	 
REQUEST		warm_up	1605218982557	1605218982775	OK	 
USER	Warm up	START	1605218982799
REQUEST		warm_up	1605218982624	1605218982875	OK	 
REQUEST		warm_up	1605218982729	1605218982932	OK	 
REQUEST		warm_up	1605218982699	1605218982932	OK	 
REQUEST		warm_up	1605218982756	1605218982995	OK	 
REQUEST		warm_up	1605218982776	1605218983031	OK	 
REQUEST		warm_up	1605218982876	1605218983079	OK	 
REQUEST		warm_up	1605218982933	1605218983139	OK	 
REQUEST		warm_up	1605218982933	1605218983154	OK	 
REQUEST		warm_up	1605218982996	1605218983207	OK	 
REQUEST		warm_up	1605218983032	1605218983260	OK	 
REQUEST		warm_up	1605218983080	1605218983281	OK	 
REQUEST		warm_up	1605218983140	1605218983379	OK	 
REQUEST		warm_up	1605218983154	1605218983391	OK	 
REQUEST		warm_up	1605218983208	1605218983421	OK	 
REQUEST		warm_up	1605218983261	1605218983494	OK	 
REQUEST		warm_up	1605218983282	1605218983525	OK	 
REQUEST		warm_up	1605218982799	1605218983559	OK	 
REQUEST		warm_up	1605218983380	1605218983604	OK	 
